generic_name,brand_names,drug_class,uses
Vancomycin,Vancocin oral,Glycopeptide,C difficile
Bezlotoxumab,Zinplava,Monoclonal antibody,C difficile prevention
Cholestyramine,Questran|Questran Light,Bile acid sequestrant,Diarrhea
Octreotide,Sandostatin|Sandostatin LAR,Somatostatin analogue,Diarrhea|Acromegaly
Loperamide,Imodium|Diamode,Opioid antidiarrheal,Diarrhea
Diphenoxylate/Atropine,Lomotil,Opioid|Anticholinergic,Diarrhea
Bismuth Subsalicylate,Pepto-Bismol|Kaopectate,Antidiarrheal,Diarrhea
Pancrelipase,Creon|Pancreaze,Enzyme supplement,Pancreatic insufficiency
Ursodeoxycholic Acid,Actigall|Ursodiol,Bile acid,Gallstones
Sulfasalazine,Azulfidine|Sulfazine,Sulfonamide,IBD|RA
Olsalazine,Dipentum,Salicylate,Ulcerative colitis
Balsalazide,Colazal|Giazo,Salicylate,Ulcerative colitis
Lactulose,Cephulac|Kristalose,Osmotic laxative,Constipation|Hepatic encephalopathy
Sorbitol,Sorbitol,Osmotic,Constipation
Glycerin,Glycerin suppository,Osmotic,Constipation
Psyllium,Metamucil|Konsyl,Bulk laxative,Constipation
Calcium Polycarbophil,Fiber-Con|Equalactin,Bulk laxative,Constipation|Diarrhea
Methylcellulose,Citrucel,Bulk laxative,Constipation
Wheat Dextrin,Benefiber,Prebiotic fiber,Constipation
Inulin,Inulin|Prebiotic,Prebiotic fiber,Constipation
Bisacodyl,Dulcolax|Correctol,Stimulant laxative,Constipation
Senna,Senna-S|Senokot,Stimulant laxative,Constipation
Castor Oil,Castor Oil,Stimulant laxative,Constipation
Aloe Vera,Aloe latex|Aloe juice,Stimulant laxative,Constipation
Phenolphthalein,Phenolphthalein,Stimulant laxative,Constipation
Tenesmus,Lubricating laxative,Mineral oil,Constipation
Paraffin Oil,Liquid paraffin,Lubricating laxative,Constipation
Olive Oil,Olive oil rectal,Lubricating laxative,Constipation
Milk of Magnesia,Mag-Ox|Magnesium hydroxide,Saline laxative,Constipation
Sodium Phosphate,Fleet Enema,Saline laxative,Constipation
Magnesium Citrate,Citrate of magnesia,Saline laxative,Constipation
Sodium Sulfate,Glauber salt,Saline laxative,Constipation
Prucalopride,Motegrity,5-HT4 agonist,Chronic constipation
Linaclotide,Linzess,Guanylate cyclase,IBS-C|Opioid constipation
Lubiprostone,Amitiza,Chloride channel activator,Constipation
Naloxegol,Movantik,Opioid antagonist,Opioid constipation
Methylnaltrexone,Relistor,Opioid antagonist,Opioid constipation
Alvimopan,Entereg,Opioid antagonist,Post-op ileus
Ispaghula,Metamucil|Psyllium,Bulk laxative,Constipation
Anthraquinone,Senna|Aloe vera,Stimulant,Constipation
Domperidone,Motilium,Dopamine antagonist,Nausea|GI motility
Metoclopramide,Reglan|Metoclopramide,Dopamine antagonist,GERD|Nausea
Cisapride,Propulsid,5-HT4 agonist,GI motility
Bethanechol,Urecholine,Cholinergic agonist,Urinary retention
Neostigmine,Prostigmin,Cholinesterase inhibitor,Myasthenia gravis
Pyridostigmine,Mestinon|Regonol,Cholinesterase inhibitor,Myasthenia gravis
Edrophonium,Enlon,Cholinesterase inhibitor,Myasthenia gravis testing
Physostigmine,Antilirium,Cholinesterase inhibitor,Anticholinergic toxicity
Pancreatinum,Enzymatic,Pancreatic enzyme,Pancreatic insufficiency
Trypsin,Enzymatic supplement,Protease,Debridement
Chymotrypsin,Enzymatic,Protease,Debridement
Hyaluronidase,Hyase|Hydase,Enzyme,Tissue infiltration
Collagenase,Santyl|Xiaflex,Enzyme,Necrotic tissue
Papain,Debridase|Papase,Protease,Tissue debridement
Bromelain,Bromelain,Protease,Anti-inflammatory
Serratiopeptidase,Serrapeptase|Eidon,Serine protease,Inflammation
Nattokinase,Nattokinase,Serine protease,Blood flow
Glucose Oxidase,Diagnostic,Enzyme,Wound irrigation
Laccase,Enzymatic,Enzyme,Medical uses
