english_name,chinese_name,pinyin,latin_name,common_names,chinese_alt,type,entity_id
Motherwort,益母草,yi mu cao,Herba Leonuri,Leonurus|Motherwort,,herb,
Job's Tears,薏苡仁,yi yi ren,Semen Coicis,Coix|Job's tears,,herb,
Alpinia Seed,益智仁,yi zhi ren,Fructus Alpiniae Oxyphyllae,Alpinia|Black cardamom,,herb,
Stellaria Root,銀柴胡,yin chai hu,Radix Stellariae,Stellaria|Stitchwort,,herb,
Yin Chen Shoots,茵陳蒿,yin chen hao,Herba Artemisiae Scopariae,Artemisia|Yin chen,,herb,
Epimedium,淫羊藿,yin yang huo,Herba Epimedii,Horny goat weed|Epimedium,,herb,
Turmeric,郁金,yu jin,Radix Curcumae,Curcuma|Turmeric,,herb,
Bush Cherry,郁李仁,yu li ren,Semen Pruni,Prunus|Cherry,,herb,
Corn Silk,玉米鬚,yu mi xu,Stigma Maydis,Zea|Cornsilk,,herb,
Houttuynia,魚腥草,yu xing cao,Herba Houttuyniae,Houttuynia|Saururaceae,,herb,
Solomon's Seal,玉竹,yu zhu,Rhizoma Polygonati Odorati,Polygonatum|Seal,,herb,
Genkwa Flower,芫花,yuan hua,Flos Genkwa,Daphne|Genkwa,,herb,
Senega Root,遠志,yuan zhi,Radix Polygalae,Polygala|Milkwort,,herb,
Honeylocust Fruit,皂角,zao jiao,Fructus Gleditsiae,Gleditsia|Honeylocust,,herb,
Honeylocust Spine,皂角刺,zao jiao ci,Spina Gleditsiae,Gleditsia spine,,herb,
Bugleweed,澤蘭,ze lan,Herba Lycopi,Lycopus|Bugleweed,,herb,
Alisma Root,澤瀉,ze xie,Rhizoma Alismatis,Alisma|Plantain,,herb,
Fritillaria,浙貝母,zhe bei mu,Bulbus Fritillariae Thunbergii,Thunbergii|Fritillaria,,herb,
Pearl Shell,珍珠母,zhen zhu mu,Concha Margartifera Usta,Mother of pearl,,herb,
Aurantii Fruit,枳殼,zhi ke,Fructus Aurantii,Citrus|Aurantium,,herb,
Anemarrhena,知母,zhi mu,Rhizoma Anemarrhenae,Anemarrhena|Asphodelaceae,,herb,
Aurantii Immaturus,枳實,zhi shi,Fructus Aurantii Immaturus,Immature orange,,herb,
Gardenia Fruit,梔子,zhi zi,Fructus Gardeniae,Gardenia|Cape jasmine,,herb,
Polyporus,豬苓,zhu ling,Polyporus Umbellatus,Umbellate polypore,,herb,
Bamboo Shavings,竹茹,zhu ru,Caulis Bambusae in Taeniam,Bamboo|Bambusa,,herb,
Cinnabar,朱砂,zhu sha,Cinnabaris,Mercury sulfide|Cinnabar,,herb,
Lithospermum,紫草,zi cao,Radix Lithospermi,Groomwell|Lithospermum,,herb,
Yedeon's Violet,紫花地丁,zi hua di ding,Herba Violae,Viola|Violet,,herb,
Perilla Leaf,紫蘇葉,zi su ye,Folium Perillae,Perilla|Shiso,,herb,
Aster Root,紫菀,zi wan,Radix Asteris,Purple aster,,herb,
Trachycarpus Fiber,棕櫚炭,zong lu tan,Traachycarpi Carbonisatus,Palm fiber,,herb,
